file,rule_id,action,old_for_each,new_for_each,missing_vars_covered,status_was
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.authorization_policy.tls_min_1_2_enforced,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.authorization_policy.token_audience_restricted,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_endpoint.private_networking_enforced,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_endpoint.waf_attached,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_rate_limit_policy.rate_limiting_api_stage_throttle_overrides_not_unbounded,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_content_type_whitelist_enforced,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_response_schema_validation_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_request_schema_validation_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_restapi_waf_acl_attached:az.api_management_monitoring.api_security_monitoring_api_access_logging_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.subscription_key.expiration_required,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_rate_limit_policy.rate_limiting_api_stage_burst_limit_configured,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.subscription_key.rotation_policy_defined,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_monitoring.monitoring_api_access_log_fields_identity_present,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.subscription_key.scopes_least_privilege,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_request_body_size_limit_configured,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_rate_limit_policy.rate_limiting_api_stage_rate_limit_configured,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_version.throttling_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_monitoring.monitoring_api_logs_retention_days_minimum,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_endpoint.authz_policies_enforced,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_version.logging_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_monitoring.monitoring_api_access_logging_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_rate_limit_policy.rate_limiting_api_usage_plan_required_for_api_keys,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_rate_limit_policy.rate_limiting_api_quota_limit_configured,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_monitoring.monitoring_api_access_log_sink_configured,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_parameters_validation_enabled,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.authorization_policy.cache_ttl_reasonable,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_version.require_usage_plan_for_api_keys,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_validation_policy.validation_api_required_security_headers_enforced,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_monitoring.monitoring_api_execution_logging_level_minimum_error,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.management_authorization_enabled:az.api_management_rate_limit_policy.api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api/api.checks.yaml,azure.api.api_endpoint.authn_required,UPDATED,azure.api.list,azure.apimanagement.apimanagementservice.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/api_management/api_management.checks.yaml,azure.api_management.portalconfigs.modify_api_management_to_disable_username_and_password_authentication,UPDATED,azure.apimanagement.apimanagementservice.list,azure.apimanagement.portalconfig.list_by_service,1/1,FIELD_MISSING
catalog/rule/azure_rule_check/api_management/api_management.checks.yaml,azure.api_management.portalconfigs.api_management_should_have_username_and_password_authentication_disabled,UPDATED,azure.apimanagement.apimanagementservice.list,azure.apimanagement.portalconfig.list_by_service,1/1,FIELD_MISSING
catalog/rule/azure_rule_check/api_management/api_management.checks.yaml,azure.api_management.tenant.api_management_direct_management_endpoint_should_not_be_enabled,UPDATED,azure.apimanagement.apimanagementservice.list,azure.apimanagement.tenantaccess.list_by_service,1/1,FIELD_MISSING
catalog/rule/azure_rule_check/app_service/app_service.checks.yaml,azure.app_service.slots.app_service_app_slots_should_be_injected_into_a_virtual_network,UPDATED,azure.web.staticsites.list,azure.web.webapps.list,1/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_service_principal.access_service_account_no_user_long_lived_keys,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.graph.api.365.group.creation.restriction.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.access_user_console_password_present_only_if_required,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_password_policy_max_age_90_days_or_less,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.app_registration.access_oidc_allowed_client_ids_audiences_restricted,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_password_policy_lockout_threshold_defined,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_user_assigned_identity.access_instance_profile_role_attached,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.user.app.registration.disabled,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_break_glass_accounts_mfa_enforced,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.user.consent.disabled.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.enterprise_application.access_saml_idp_metadata_signed,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.access_user_access_keys_rotated_90_days_or_less_when_present,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_password_policy_compliant,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.enterprise_application.access_saml_audience_restriction,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.user.no_guest_accounts_with_permissions,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.group.creation.restriction.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_api_access_keys_root_or_owner_disallowed,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.authentication.passwordless.policy.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entrad.group.membership.management.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_group_membership_review_enabled_where_supported,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.app_registration.access_oidc_issuer_https_and_matches_discovery,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.user.with_vm_access_has_mfa:az.active_directory_user.identity_access_security_user_mfa_required,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_sso_federation_where_supported,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_rbac_group_no_inline_policies,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.authentication.reconfirmation.period.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.conditionalaccess.token.protection.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.privacy_consent.access_rbac_least_privilege,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.user.group_membership:az.active_directory_group.identity_access_security_group_membership_review_enabled_where_supported,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.policy.restrict.non.admin.tenant.creation,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_service_principal.access_service_account_scopes_or_roles_least_privilege,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.diagnostic.microsoft.graph.logs.destination.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.access_user_mfa_required,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.authentication.methods.policy.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.diagnostic.setting.activity.logs.configured,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.password.reset.notification.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_group_no_inline_policies,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.security.lockout.duration.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_rbac_group_external_sharing_restricted_where_supported,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_rbac_group_attached_policies_not_admin_star,UPDATED,azure.aad.list_for_resource_group,azure.authorization.roleassignments.list_for_resource_group,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.enterprise_application.access_saml_assertion_lifetime_reasonable,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_user_assigned_identity.access_instance_profile_role_policies_least_privilege,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_password_policy_prevent_reuse_last_24,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_service_principal.access_service_account_keys_not_used_or_rotated_90_days_or_less,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.policy.trusted_named_locations_exists,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.user.role.check.disabled,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.user.consent.settings.verified.publishers,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.role.least_privilege,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.access_user_in90_days_disabled,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entrad.global.admin.role.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.custom.role.admin.privileges.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.mfa.enabled.for.privileged.vm.access,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.enterprise_application.access_saml_certificates_not_expired,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_console_mfa_required_org_wide,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.policy.require_mfa_for_management_api:az.active_directory_tenant.identity_access_security_password_policy_require_upper_lower_number_special,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.authentication.lockout.threshold.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entra.id.guest.invite.restrictions.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.app_registration.access_oidc_token_lifetime_reasonable,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_password_policy_require_upper_lower_number_special,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,"azure.aad.directory.password_policy_reuse_24,_azure_devops_project_no_secrets_in_variables_c87043e4",UPDATED,azure.aad.list,azure.authorization.roleassignments.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_user_assigned_identity.access_instance_profile_no_instance_profile_with_admin_star,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entrad.device.mfa.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_tenant_inuser_disable_threshold,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.serverless_event_source.permissions_least_privilege,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.identity_service_principal.access_service_account_workload_identity_federation_used_where_supported,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.group.access_group_attached_policies_not_admin_star,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.entrad.password.policy.custom.banned.list.enforced,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.guest.user.access.restriction.check,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.directory_tenant.access_password_policy_min_length_14,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.ad.tenant.creator.role.review,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.user.access_user_no_inline_policies_attached,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.aad.app_registration.access_oidc_thumbprints_or_jwks_pinning,UPDATED,azure.aad.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.config.policy.cis_7_16_needs_development,UPDATED,azure.config.list,azure.appconfiguration.configurationstores.configurationstores_list,0/1,CSV_GAP
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.role.assignment.privileged.review,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.policy.cis_2_4_needs_development,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.role.has_permissions_to_administer_resource_locks,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.policy.cis_5_18_needs_development,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.policy.cis_5_25_needs_development,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.policy.cis_5_3_7_needs_development,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.iam.user.access.admin.check,UPDATED,azure.iam.list,azure.authorization.roleassignments.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.governance_config_recorder_global_resource_types_tracked,UPDATED,azure.policy.list,azure.authorization.root.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.identity_access_rbac_conditions_used_where_applicable,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.remediation_task.configuration_management_config_remediation_auto_remediation_enabled_for_high,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.identity_access_rbac_resource_constraints_present,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.registry_lifecycle_policy.supply_chain_lifecycle_policy_policy_storage_encrypted,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_editors_rbac_least_privilege,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.compliance.configuration_management_config_drift_alerts_configured,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.set_definition.governance_aggregator_org_aggregator_enabled,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_scp_mandatory_deny_iam_star_admin,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.configuration_management_config_recorder_enabled,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.registry_policy.supply_chain_no_wildcard_admin,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.rule.governance_config_remediation_targets_bound,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.enabled,UPDATED,azure.policy.list,azure.authorization.root.list,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_scp_no_allow_star_on_star_resources,UPDATED,azure.policy.list_for_resource_group,azure.authorization.root.list_for_resource_group,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.rule.configuration_management_config_required_rules_present,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.rule.configuration_management_config_remediation_targets_bound,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.identity_access_rbac_no_action_star_on_resource_star,UPDATED,azure.policy.list_for_resource_group,azure.authorization.root.list_for_resource_group,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.registry_policy.supply_chain_no_public_pull_push,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.check.disabled.effect,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.governance_config_recorder_enabled,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_scp_mandatory_block_disabling_guardrail_services,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.assignment.governance_aggregation_authorization_not_expired_or_revoked,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_no_wildcard_admin_actions,UPDATED,azure.policy.list_for_resource_group,azure.authorization.root.list_for_resource_group,n/a,OP_RESOLVED
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.definition.governance_versioning_and_change_audit_enabled,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
catalog/rule/azure_rule_check/authorization/authorization.checks.yaml,azure.policy.set_definition.configuration_management_config_baseline_parameters_set,UPDATED,azure.policy.list,azure.authorization.root.list,0/1,FIELD_MISSING
